"id","jel"
"restud_79_1_6","C"
"restud_79_1_7","C"
"restud_79_2_1","C"
"restud_79_2_12","C"
"restud_79_2_2","C"
"restud_79_3_3","C"
"restud_79_3_5","C"
"restud_79_3_7","C"
"restud_79_4_12","C"
"restud_80_1_1","C"
"restud_80_1_11","C"
"restud_80_1_12","C"
"restud_80_1_13","C"
"restud_80_2_13","C"
"restud_80_2_5","C"
"restud_80_3_2","C"
"restud_80_3_3","C"
"restud_80_3_4","C"
"restud_80_3_6","C"
"restud_80_4_1","C"
"restud_80_4_7","C"
"restud_80_4_8","C"
"restud_81_1_1","C"
"restud_81_1_10","C"
"restud_81_1_11","C"
"restud_81_1_15","C"
"restud_81_1_2","C"
"restud_81_1_5","C"
"restud_81_2_4","C"
"restud_81_3_1","C"
"restud_81_3_11","C"
"restud_81_3_2","C"
"restud_81_4_7","C"
"restud_81_4_9","C"
"restud_82_1_4","C"
"restud_82_1_5","C"
"restud_82_1_9","C"
"aejapp_1_4_8","C"
"aejapp_5_3_4","C"
"aejmac_3_1_7","C"
"aejmac_5_2_7","C"
"aejmic_1_2_7","C"
"aejmic_3_3_1","C"
"aejmic_3_3_7","C"
"aejmic_3_4_5","C"
"aejmic_4_4_2","C"
"aejmic_4_4_5","C"
"aejmic_4_4_6","C"
"aejmic_5_4_2","C"
"aejmic_6_1_11","C"
"aejmic_6_2_8","C"
"aejmic_6_3_4","C"
"aer_100_3_12","C"
"aer_100_4_24","C"
"aer_101_1_17","C"
"aer_101_3_99","C"
"aer_101_6_9","C"
"aer_101_7_21","C"
"aer_102_1_11","C"
"aer_102_2_1","C"
"aer_102_2_11","C"
"aer_102_2_4","C"
"aer_102_3_85","C"
"aer_102_5_1","C"
"aer_103_1_19","C"
"aer_103_2_4","C"
"aer_103_3_95","C"
"aer_103_3_97","C"
"aer_104_1_5","C"
"aer_104_5_22","C"
"aer_104_5_33","C"
"aer_104_6_14","C"
"aer_104_9_4","C"
"aer_97_5_7","C"
"aer_97_5_8","C"
"aer_98_3_12","C"
"aer_98_3_14","C"
"aer_98_4_3","C"
"aer_98_4_9","C"
"aer_99_3_17","C"
"aer_99_4_21","C"
"aer_99_4_22","C"
"aer_99_5_29","C"
"aer_99_5_7","C"
"jep_28_1_10","C"
"restud_79_1_6","C"
"restud_79_2_1","C"
"restud_79_2_12","C"
"restud_79_3_3","C"
"restud_79_3_7","C"
"restud_79_4_12","C"
"restud_79_4_8","C"
"restud_80_1_10","C"
"restud_80_1_11","C"
"restud_80_1_12","C"
"restud_80_1_13","C"
"restud_80_2_13","C"
"restud_80_2_5","C"
"restud_80_3_3","C"
"restud_80_3_4","C"
"restud_80_4_8","C"
"restud_81_1_10","C"
"restud_81_1_11","C"
"restud_81_1_15","C"
"restud_81_1_5","C"
"restud_81_3_1","C"
"restud_81_3_11","C"
"restud_81_3_2","C"
"restud_81_4_9","C"
"restud_82_1_5","C"
"aejmic_3_3_7","C"
"aejmic_3_4_5","C"
"aer_101_7_21","C"
"aer_102_1_11","C"
"aer_102_2_11","C"
"aer_102_3_9","C"
"aer_102_4_1","C"
"aer_97_5_8","C"
"restud_79_1_2","C"
"restud_79_1_6","C"
"restud_79_2_1","C"
"restud_79_2_3","C"
"restud_79_3_3","C"
"restud_79_3_7","C"
"restud_80_1_11","C"
"restud_80_3_3","C"
"restud_80_4_10","C"
"restud_80_4_3","C"
"restud_81_1_5","C"
"restud_81_3_1","C"
"restud_81_3_11","C"
"restud_81_4_9","C"
"restud_79_4_8","C"
"restud_80_4_10","C"
"restud_80_4_2","C"
"restud_81_3_11","C"
"restud_81_4_9","C"
"restud_79_1_8","C"
"restud_79_4_2","C"
"restud_80_2_2","C"
"restud_80_4_4","C"
"restud_81_3_11","C"
"restud_79_1_8","C"
"restud_79_1_8","C"
"aejapp_1_1_10","D"
"aejapp_1_1_2","D"
"aejapp_1_1_5","D"
"aejapp_1_2_2","D"
"aejapp_1_2_3","D"
"aejapp_1_2_4","D"
"aejapp_1_3_1","D"
"aejapp_1_4_2","D"
"aejapp_1_4_5","D"
"aejapp_2_1_1","D"
"aejapp_2_1_3","D"
"aejapp_2_1_4","D"
"aejapp_2_1_6","D"
"aejapp_2_1_8","D"
"aejapp_2_1_9","D"
"aejapp_2_2_6","D"
"aejapp_2_3_11","D"
"aejapp_2_3_4","D"
"aejapp_2_3_8","D"
"aejapp_2_4_3","D"
"aejapp_2_4_4","D"
"aejapp_2_4_7","D"
"aejapp_2_4_8","D"
"aejapp_2_4_9","D"
"aejapp_3_1_1","D"
"aejapp_3_2_8","D"
"aejapp_3_3_1","D"
"aejapp_3_3_3","D"
"aejapp_3_3_9","D"
"aejapp_3_4_4","D"
"aejapp_3_4_5","D"
"aejapp_3_4_8","D"
"aejapp_3_4_9","D"
"aejapp_4_1_2","D"
"aejapp_4_1_3","D"
"aejapp_4_1_7","D"
"aejapp_4_1_8","D"
"aejapp_4_1_9","D"
"aejapp_4_2_4","D"
"aejapp_4_2_6","D"
"aejapp_4_2_7","D"
"aejapp_4_3_3","D"
"aejapp_4_4_4","D"
"aejapp_4_4_5","D"
"aejapp_4_4_6","D"
"aejapp_4_4_7","D"
"aejapp_5_1_4","D"
"aejapp_5_1_5","D"
"aejapp_5_1_6","D"
"aejapp_5_1_7","D"
"aejapp_5_2_1","D"
"aejapp_5_2_2","D"
"aejapp_5_2_7","D"
"aejapp_5_2_9","D"
"aejapp_5_3_1","D"
"aejapp_5_3_5","D"
"aejapp_5_3_6","D"
"aejapp_5_3_8","D"
"aejapp_5_3_9","D"
"aejapp_5_4_10","D"
"aejapp_5_4_5","D"
"aejapp_5_4_7","D"
"aejapp_5_4_9","D"
"aejapp_6_1_1","D"
"aejapp_6_1_3","D"
"aejapp_6_1_5","D"
"aejapp_6_2_1","D"
"aejapp_6_3_1","D"
"aejapp_6_3_4","D"
"aejapp_6_3_5","D"
"aejapp_6_3_7","D"
"aejapp_6_3_9","D"
"aejapp_6_4_5","D"
"aejapp_6_4_7","D"
"aejmac_1_1_8","D"
"aejmac_1_2_3","D"
"aejmac_1_2_4","D"
"aejmac_1_2_7","D"
"aejmac_2_1_1","D"
"aejmac_2_1_4","D"
"aejmac_2_1_5","D"
"aejmac_2_1_7","D"
"aejmac_2_1_9","D"
"aejmac_2_2_6","D"
"aejmac_2_4_11","D"
"aejmac_2_4_4","D"
"aejmac_2_4_6","D"
"aejmac_2_4_7","D"
"aejmac_3_1_5","D"
"aejmac_3_1_9","D"
"aejmac_3_2_1","D"
"aejmac_3_2_4","D"
"aejmac_3_2_7","D"
"aejmac_3_3_6","D"
"aejmac_3_4_7","D"
"aejmac_4_1_1","D"
"aejmac_4_2_2","D"
"aejmac_4_3_2","D"
"aejmac_4_3_4","D"
"aejmac_4_3_6","D"
"aejmac_4_4_1","D"
"aejmac_4_4_5","D"
"aejmac_4_4_7","D"
"aejmac_5_1_2","D"
"aejmac_5_1_6","D"
"aejmac_5_2_4","D"
"aejmac_5_4_3","D"
"aejmac_5_4_4","D"
"aejmac_5_4_6","D"
"aejmac_6_1_6","D"
"aejmac_6_2_1","D"
"aejmac_6_2_2","D"
"aejmac_6_2_4","D"
"aejmac_6_3_2","D"
"aejmac_6_3_3","D"
"aejmac_6_3_7","D"
"aejmac_6_3_8","D"
"aejmac_6_4_1","D"
"aejmac_6_4_3","D"
"aejmac_6_4_4","D"
"aejmic_1_1_10","D"
"aejmic_1_1_2","D"
"aejmic_1_1_3","D"
"aejmic_1_1_4","D"
"aejmic_1_1_5","D"
"aejmic_1_1_6","D"
"aejmic_1_2_1","D"
"aejmic_1_2_12","D"
"aejmic_1_2_2","D"
"aejmic_1_2_4","D"
"aejmic_1_2_5","D"
"aejmic_1_2_6","D"
"aejmic_1_2_8","D"
"aejmic_1_2_9","D"
"aejmic_2_1_10","D"
"aejmic_2_1_11","D"
"aejmic_2_1_3","D"
"aejmic_2_1_4","D"
"aejmic_2_1_6","D"
"aejmic_2_1_7","D"
"aejmic_2_1_8","D"
"aejmic_2_1_9","D"
"aejmic_2_2_1","D"
"aejmic_2_2_3","D"
"aejmic_2_2_4","D"
"aejmic_2_2_6","D"
"aejmic_2_3_2","D"
"aejmic_2_3_3","D"
"aejmic_2_3_4","D"
"aejmic_2_3_5","D"
"aejmic_2_3_6","D"
"aejmic_2_3_7","D"
"aejmic_2_4_1","D"
"aejmic_2_4_2","D"
"aejmic_2_4_3","D"
"aejmic_2_4_5","D"
"aejmic_2_4_6","D"
"aejmic_2_4_8","D"
"aejmic_3_1_1","D"
"aejmic_3_1_10","D"
"aejmic_3_1_11","D"
"aejmic_3_1_2","D"
"aejmic_3_1_3","D"
"aejmic_3_1_4","D"
"aejmic_3_1_5","D"
"aejmic_3_1_8","D"
"aejmic_3_1_9","D"
"aejmic_3_2_1","D"
"aejmic_3_2_4","D"
"aejmic_3_2_5","D"
"aejmic_3_2_7","D"
"aejmic_3_2_8","D"
"aejmic_3_3_2","D"
"aejmic_3_3_3","D"
"aejmic_3_3_5","D"
"aejmic_3_3_6","D"
"aejmic_3_3_9","D"
"aejmic_3_4_2","D"
"aejmic_3_4_3","D"
"aejmic_3_4_6","D"
"aejmic_3_4_7","D"
"aejmic_3_4_8","D"
"aejmic_4_1_1","D"
"aejmic_4_1_6","D"
"aejmic_4_2_1","D"
"aejmic_4_2_3","D"
"aejmic_4_2_5","D"
"aejmic_4_2_7","D"
"aejmic_4_2_8","D"
"aejmic_4_3_1","D"
"aejmic_4_3_2","D"
"aejmic_4_3_3","D"
"aejmic_4_3_4","D"
"aejmic_4_3_5","D"
"aejmic_4_3_7","D"
"aejmic_4_4_3","D"
"aejmic_4_4_4","D"
"aejmic_4_4_8","D"
"aejmic_5_1_1","D"
"aejmic_5_1_2","D"
"aejmic_5_1_5","D"
"aejmic_5_1_6","D"
"aejmic_5_1_7","D"
"aejmic_5_1_8","D"
"aejmic_5_2_1","D"
"aejmic_5_2_3","D"
"aejmic_5_2_6","D"
"aejmic_5_2_7","D"
"aejmic_5_3_1","D"
"aejmic_5_3_2","D"
"aejmic_5_3_3","D"
"aejmic_5_3_5","D"
"aejmic_5_3_6","D"
"aejmic_5_3_7","D"
"aejmic_5_3_8","D"
"aejmic_5_4_1","D"
"aejmic_5_4_10","D"
"aejmic_5_4_3","D"
"aejmic_5_4_4","D"
"aejmic_5_4_6","D"
"aejmic_5_4_7","D"
"aejmic_5_4_8","D"
"aejmic_6_1_1","D"
"aejmic_6_1_10","D"
"aejmic_6_1_12","D"
"aejmic_6_1_2","D"
"aejmic_6_1_3","D"
"aejmic_6_1_4","D"
"aejmic_6_1_6","D"
"aejmic_6_1_7","D"
"aejmic_6_1_9","D"
"aejmic_6_2_1","D"
"aejmic_6_2_3","D"
"aejmic_6_2_5","D"
"aejmic_6_2_6","D"
"aejmic_6_2_7","D"
"aejmic_6_3_1","D"
"aejmic_6_3_10","D"
"aejmic_6_3_2","D"
"aejmic_6_3_3","D"
"aejmic_6_3_8","D"
"aejmic_6_4_1","D"
"aejmic_6_4_11","D"
"aejmic_6_4_12","D"
"aejmic_6_4_3","D"
"aejmic_6_4_6","D"
"aejmic_6_4_8","D"
"aejmic_6_4_9","D"
"aejpol_1_1_10","D"
"aejpol_1_1_11","D"
"aejpol_1_1_9","D"
"aejpol_1_2_3","D"
"aejpol_1_2_7","D"
"aejpol_2_1_5","D"
"aejpol_2_1_6","D"
"aejpol_2_1_7","D"
"aejpol_2_2_2","D"
"aejpol_2_2_4","D"
"aejpol_2_2_5","D"
"aejpol_2_2_6","D"
"aejpol_2_2_7","D"
"aejpol_2_3_1","D"
"aejpol_2_3_4","D"
"aejpol_2_3_7","D"
"aejpol_2_4_2","D"
"aejpol_2_4_4","D"
